Director,Actor/Actress,Movies
Adam McKay,Steve Carell,"['The Big Short', 'Anchorman: The Legend of Ron Burgundy', 'Vice', 'Anchorman 2: The Legend Continues']"
Adam McKay,Will Ferrell,"['Step Brothers', 'Talladega Nights: The Ballad of Ricky Bobby', 'The Other Guys', 'Anchorman: The Legend of Ron Burgundy', 'Anchorman 2: The Legend Continues']"
Adil El Arbi,Bilall Fallah,"['Bad Boys: Ride or Die', 'Bad Boys for Life', 'Batgirl', 'Rebel']"
Akira Kurosawa,Takashi Shimura,"['Shichinin no samurai', 'Rashômon', 'Ikiru', 'Kumonosu-jô']"
Akira Kurosawa,Tatsuya Nakadai,"['Ran', 'Tengoku to jigoku', 'Yôjinbô', 'Kagemusha']"
Akira Kurosawa,Toshirô Mifune,"['Shichinin no samurai', 'Rashômon', 'Tengoku to jigoku', 'Yôjinbô', 'Kakushi-toride no san-akunin', 'Kumonosu-jô']"
Akiva Schaffer,Andy Samberg,"['Hot Rod', 'Popstar: Never Stop Never Stopping', ""Chip 'n Dale: Rescue Rangers""]"
Akiva Schaffer,Jorma Taccone,"['Hot Rod', 'Popstar: Never Stop Never Stopping', 'Popstar: Never Stop Never Stopping']"
Albert Hughes,Allen Hughes,"['The Book of Eli', 'Dead Presidents', 'From Hell', 'Menace II Society']"
Alex Kendrick,Alex Kendrick,"['Overcomer', 'Facing the Giants', 'Courageous']"
Alexandre Bustillo,Julien Maury,"[""À l'intérieur"", 'Leatherface', 'The Deep House']"
Alfred Hitchcock,Cary Grant,"['North by Northwest', 'Notorious', 'To Catch a Thief', 'Suspicion']"
Alfred Hitchcock,Grace Kelly,"['Rear Window', 'Dial M for Murder', 'To Catch a Thief']"
Alfred Hitchcock,James Stewart,"['Vertigo', 'Rear Window', 'Rope', 'The Man Who Knew Too Much']"
Andrew Erwin,Jon Erwin,"['I Can Only Imagine', 'American Underdog', 'I Still Believe', ""Moms' Night Out""]"
Andrew V. McLaglen,John Wayne,"['McLintock!', 'The Undefeated', 'Chisum', 'Cahill U.S. Marshal']"
Anna Boden,Ryan Fleck,"['Captain Marvel', ""It's Kind of a Funny Story"", 'Freaky Tales']"
Anthony Russo,Chris Evans,"['Avengers: Endgame', 'Avengers: Infinity War', 'Captain America: Civil War', 'Captain America: The Winter Soldier']"
Anthony Russo,Joe Russo,"['Avengers: Endgame', 'Avengers: Infinity War', 'Captain America: Civil War', 'Captain America: The Winter Soldier', 'The Electric State', 'Cherry']"
Anthony Russo,Robert Downey Jr.,"['Avengers: Endgame', 'Avengers: Infinity War', 'Captain America: Civil War']"
Antoine Fuqua,Denzel Washington,"['The Equalizer 3', 'The Equalizer', 'The Magnificent Seven', 'The Equalizer 2', 'Training Day']"
Antoine Fuqua,Ethan Hawke,"['The Magnificent Seven', 'Training Day', ""Brooklyn's Finest""]"
Barbara Bialowas,Anna-Maria Sieklucka,"['365 dni', 'The Next 365 Days', '365 Days: This Day']"
Barbara Bialowas,Michele Morrone,"['365 dni', 'The Next 365 Days', '365 Days: This Day']"
Barbara Bialowas,Tomasz Mandes,"['365 dni', 'The Next 365 Days', '365 Days: This Day']"
Barbra Streisand,Barbra Streisand,"['The Prince of Tides', 'Yentl', 'The Mirror Has Two Faces']"
Barry Levinson,Dustin Hoffman,"['Rain Man', 'Sphere', 'Wag the Dog']"
Barry Levinson,Robert De Niro,"['Sleepers', 'Alto Knights', 'Wag the Dog']"
Barry Levinson,Robin Williams,"['Good Morning, Vietnam', 'Man of the Year', 'Toys']"
Barry Sonnenfeld,Tommy Lee Jones,"['Men in Black', 'Men in Black II', 'Men in Black³']"
Barry Sonnenfeld,Will Smith,"['Men in Black', 'Men in Black II', 'Men in Black³', 'Wild Wild West']"
Ben Affleck,Ben Affleck,"['The Town', 'Air', 'Argo', 'Live by Night']"
Ben Falcone,Melissa McCarthy,"['Life of the Party', 'Thunder Force', 'The Boss', 'Tammy']"
Ben Stiller,Ben Stiller,"['Tropic Thunder', 'The Secret Life of Walter Mitty', 'Zoolander', 'Zoolander 2']"
Benny Safdie,Josh Safdie,"['Uncut Gems', 'Good Time', 'Heaven Knows What']"
Billy Wilder,Jack Lemmon,"['Some Like It Hot', 'The Apartment', 'Irma la Douce']"
Billy Wilder,William Holden,"['Sunset Blvd.', 'Sabrina', 'Stalag 17']"
Blake Edwards,Herbert Lom,"['The Return of the Pink Panther', 'A Shot in the Dark', 'The Pink Panther Strikes Again']"
Blake Edwards,Peter Sellers,"['The Pink Panther', 'The Party', 'The Return of the Pink Panther', 'A Shot in the Dark', 'The Pink Panther Strikes Again']"
Bobby Farrelly,Peter Farrelly,"[""There's Something About Mary"", 'The Heartbreak Kid', 'Kingpin', 'Shallow Hal', 'Me, Myself & Irene', 'The Three Stooges', 'Hall Pass', 'Osmosis Jones', 'Dumb and Dumber To', 'Fever Pitch', 'Stuck on You']"
Bong Joon Ho,Song Kang-ho,"['Gisaengchung', 'Salinui chueok', 'Gwoemul']"
Brad Peyton,Dwayne Johnson,"['Rampage', 'San Andreas', 'Journey 2: The Mysterious Island']"
Brett Ratner,Chris Tucker,"['Rush Hour', 'Rush Hour 2', 'Rush Hour 3', 'Money Talks']"
Brett Ratner,Jackie Chan,"['Rush Hour', 'Rush Hour 2', 'Rush Hour 3']"
Bryan Singer,Hugh Jackman,"['X-Men', 'X-Men: Days of Future Past', 'X2']"
Bryan Singer,Ian McKellen,"['X-Men', 'X-Men: Days of Future Past', 'X2', 'Apt Pupil']"
Bryan Singer,Patrick Stewart,"['X-Men', 'X-Men: Days of Future Past', 'X2']"
