Director,Actor/Actress,Movies
A.J. Edwards,Chris Galust,['First Love']
A.J. Edwards,Diane Kruger,['First Love']
A.J. Edwards,Hero Fiennes Tiffin,['First Love']
A.J. Edwards,Nikolai Tsankov,['First Love']
A.R. Murugadoss,Aamir Khan,['Ghajini']
A.R. Murugadoss,Aamir Naik,['Ghajini']
A.R. Murugadoss,Asin Thottumkal,['Ghajini']
A.R. Murugadoss,Jiah Khan,['Ghajini']
A.V. Rockwell,Aaron Kingsley Adetola,['A Thousand and One']
A.V. Rockwell,Aven Courtney,['A Thousand and One']
A.V. Rockwell,Josiah Cross,['A Thousand and One']
A.V. Rockwell,Teyana Taylor,['A Thousand and One']
Aamir Khan,Aamir Khan,['Taare Zameen Par']
Aamir Khan,Amole Gupte,['Taare Zameen Par']
Aamir Khan,Darsheel Safary,['Taare Zameen Par']
Aamir Khan,Tisca Chopra,['Taare Zameen Par']
Aamir Khan,Vipin Sharma,['Taare Zameen Par']
Aaron Blaise,Jason Raize,['Brother Bear']
Aaron Blaise,Jeremy Suarez,['Brother Bear']
Aaron Blaise,Joaquin Phoenix,['Brother Bear']
Aaron Blaise,Rick Moranis,['Brother Bear']
Aaron Blaise,Robert Walker,['Brother Bear']
Aaron Burns,Lucas Black,['Birthright Outlaw']
Aaron Burns,Olivia Sanabia,['Birthright Outlaw']
Aaron Burns,Sarah Drew,['Birthright Outlaw']
Aaron Burns,Tom Proctor,['Birthright Outlaw']
Aaron Hann,Aimee McKay,['Circle']
Aaron Hann,Allegra Masters,['Circle']
Aaron Hann,Ashley Key,['Circle']
Aaron Hann,Autumn Federici,['Circle']
Aaron Hann,Mario Miscione,['Circle']
Aaron Harvey,Jean Louisa Kelly,['The Neighbor']
Aaron Harvey,Jessica McNamee,['The Neighbor']
Aaron Harvey,Michael Rosenbaum,['The Neighbor']
Aaron Harvey,William Fichtner,['The Neighbor']
Aaron Horvath,Anya Taylor-Joy,['The Super Mario Bros. Movie']
Aaron Horvath,Charles Martinet,['Untitled Animated Film Based on the World of Super Mario Bros.']
Aaron Horvath,Charlie Day,['The Super Mario Bros. Movie']
