Year,Rank,Title,Gross,Villain,Origin
1977,1,Star Wars: Episode IV - A New Hope,"$307,263,857",Darth Vader,Tatooine
1977,2,Smokey and the Bandit,"$126,737,428",Sheriff Buford T. Justice,"Texas, USA"
1977,3,Close Encounters of the Third Kind,"$116,395,460",,
1977,4,Saturday Night Fever,"$94,213,184",,
1977,5,A Bridge Too Far,"$50,750,000",German Forces,Germany
1977,6,The Deep,"$47,346,365",Henri Cloche,France
1977,7,The Spy Who Loved Me,"$46,838,673",Karl Stromberg,Italy
1977,8,"Oh, God!","$41,687,243",,
1977,9,Annie Hall,"$38,251,425",,
1977,10,Semi-Tough,"$37,187,139",,
1978,1,Grease,"$159,978,870",,
1978,2,Superman,"$134,218,018",Lex Luthor,Metropolis
1978,3,National Lampoon's Animal House,"$120,091,123",Dean Vernon Wormer,United States
1978,4,Every Which Way But Loose,"$85,196,485",,
1978,5,Heaven Can Wait,"$81,640,278",,
1978,6,Hooper,"$78,000,000",,
1978,7,Jaws 2,"$77,737,272",The Shark,Amity Island
1978,8,Revenge of the Pink Panther,"$49,579,269",Philippe Douvier,France
1978,9,The Deer Hunter,"$48,979,328",,
1978,10,Halloween,"$47,000,000",Michael Myers,"Haddonfield, Illinois"
1979,1,Kramer vs. Kramer,"$106,260,000",,
1979,2,The Amityville Horror,"$86,432,000",The House,"112 Ocean Avenue, Amityville, New York"
1979,3,Rocky II,"$85,182,160",Apollo Creed,"Los Angeles, USA"
1979,4,Star Trek: The Motion Picture,"$82,258,456",V'Ger,Canada
1979,5,Alien,"$78,944,891",The Xenomorph,France
1979,6,Apocalypse Now,"$78,784,010",Colonel Kurtz,Cambodia
1979,7,10,"$74,865,517",,
1979,8,The Jerk,"$73,691,419",,
1979,9,Moonraker,"$70,308,099",Hugo Drax,United States
1979,10,The Muppet Movie,"$65,200,000",Doc Hopper,United Kingdom
1980,1,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025",Darth Vader,Tatooine
1980,2,9 to 5,"$103,290,500",Franklin Hart Jr.,Netherlands
1980,3,Stir Crazy,"$101,300,000",,
